Train Loss,no train rows,Test Loss,No test rows,Time taken (M),Date,Time
3.14351068,29778,3.13935254,9926,0.52,07/10/2022,11:07:00
3.12325319,29778,3.12684892,9926,0.42,07/10/2022,11:07:00
2.88359837,29778,2.3729124,9926,0.48,07/10/2022,11:08:00
2.26455902,29778,2.08645362,9926,0.46,07/10/2022,11:08:00
3.14855239,29778,3.1429238,9926,0.48,07/10/2022,12:28:00
3.1377978,29778,3.14246813,9926,0.42,07/10/2022,12:29:00
3.13612529,29778,3.14347903,9926,0.42,07/10/2022,12:29:00
2.39071529,29778,1.90050204,9926,0.45999999999999996,07/10/2022,12:29:00
1.90562283,29778,1.71844305,9926,0.39,07/10/2022,12:30:00
1.79596528,29778,1.65348304,9926,0.38,07/10/2022,12:30:00
1.74421109,29778,1.61528917,9926,0.38,07/10/2022,12:30:00
1.71365773,29778,1.59379593,9926,0.38,07/10/2022,12:30:00
1.69396268,29778,1.57952763,9926,0.4,07/10/2022,12:30:00
1.67913792,29778,1.56998752,9926,0.4,07/10/2022,12:31:00
1.66804846,29778,1.5623808,9926,0.4,07/10/2022,12:31:00
1.65971757,29778,1.55693695,9926,0.4,07/10/2022,12:31:00
1.65143272,29778,1.5500264,9926,0.4,07/10/2022,12:31:00
1.64529847,29778,1.54700402,9926,0.4,07/10/2022,12:31:00
1.63996149,29778,1.54024985,9926,0.4,07/10/2022,12:32:00
1.63594116,29778,1.53784188,9926,0.4,07/10/2022,12:32:00
1.63137639,29778,1.53523884,9926,0.4,07/10/2022,12:32:00
1.62869422,29778,1.53185709,9926,0.4,07/10/2022,12:32:00
1.62484361,29778,1.53136298,9926,0.44,07/10/2022,12:32:00
1.62076025,29778,1.52682105,9926,0.4,07/10/2022,12:33:00
1.61909279,29778,1.52630133,9926,0.4,07/10/2022,12:33:00
1.61550617,29778,1.52167441,9926,0.4,07/10/2022,12:33:00
1.61433071,29778,1.52111714,9926,0.4,07/10/2022,12:33:00
1.58593437,29778,1.50369371,9926,0.43000000000000005,07/10/2022,12:36:00
1.57308827,29778,1.5000018,9926,0.4,07/10/2022,12:36:00
1.56833488,29778,1.49793846,9926,0.4,07/10/2022,12:37:00
1.56472558,29778,1.4965695,9926,0.39,07/10/2022,12:37:00
1.56140298,29778,1.49498635,9926,0.4,07/10/2022,12:37:00
1.55941402,29778,1.49381243,9926,0.4,07/10/2022,12:37:00
1.55824045,29778,1.49298407,9926,0.4,07/10/2022,12:37:00
1.55672846,29778,1.49260289,9926,0.4,07/10/2022,12:38:00
1.55415884,29778,1.49155308,9926,0.39,07/10/2022,12:38:00
1.55339348,29778,1.4905875,9926,0.4,07/10/2022,12:38:00
1.55235054,29778,1.49008081,9926,0.4,07/10/2022,12:38:00
1.55129679,29778,1.48944962,9926,0.4,07/10/2022,12:38:00
1.55009253,29778,1.48871805,9926,0.4,07/10/2022,12:39:00
1.54893935,29778,1.48901633,9926,0.4,07/10/2022,12:39:00
1.54910837,29778,1.48795804,9926,0.4,07/10/2022,12:39:00
1.54763075,29778,1.48744394,9926,0.4,07/10/2022,12:39:00
1.54644994,29778,1.48697588,9926,0.4,07/10/2022,12:39:00
1.54630244,29778,1.48636698,9926,0.4,07/10/2022,12:40:00
1.54518878,29778,1.48603075,9926,0.4,07/10/2022,12:40:00
1.54542193,29778,1.48570904,9926,0.4,07/10/2022,12:40:00
3.19945704,14889,3.04912313,4963,0.32,07/10/2022,13:01:00
2.77864401,14889,2.50039763,4963,0.3,07/10/2022,13:01:00
2.49211645,14889,2.34892977,4963,0.28,07/10/2022,13:01:00
2.37741239,14889,2.25296093,4963,0.28,07/10/2022,13:01:00
2.29232608,14889,2.16710634,4963,0.3,07/10/2022,13:01:00
2.21971556,14889,2.09054183,4963,0.3,07/10/2022,13:01:00
2.15457007,14889,2.02193656,4963,0.3,07/10/2022,13:01:00
2.09824421,14889,1.96383012,4963,0.3,07/10/2022,13:02:00
3.11412513,14889,2.71381495,4963,0.37,07/10/2022,13:02:00
2.53271284,14889,2.33994371,4963,0.32,07/10/2022,13:02:00
2.31643495,14889,2.17856164,4963,0.32,07/10/2022,13:02:00
2.15350561,14889,1.76800966,4963,0.37,07/10/2022,13:03:00
1.76009258,14889,1.58730127,4963,0.32,07/10/2022,13:03:00
1.61732869,14889,1.50519492,4963,0.32,07/10/2022,13:03:00
1.54806397,14889,1.46089484,4963,0.32,07/10/2022,13:03:00
1.50541705,14889,1.43491695,4963,0.32,07/10/2022,13:03:00
1.47736647,14889,1.41590509,4963,0.32,07/10/2022,13:04:00
1.45760309,14889,1.40235252,4963,0.32,07/10/2022,13:04:00
1.44230969,14889,1.39329181,4963,0.32,07/10/2022,13:04:00
1.42842664,14889,1.38236519,4963,0.32,07/10/2022,13:04:00
1.41820249,14889,1.37469059,4963,0.32,07/10/2022,13:04:00
1.40923902,14889,1.36974912,4963,0.32,07/10/2022,13:04:00
1.40201398,14889,1.36473323,4963,0.32,07/10/2022,13:04:00
1.39573147,14889,1.35838023,4963,0.33,07/10/2022,13:05:00
1.38989106,14889,1.35482913,4963,0.34,07/10/2022,13:05:00
1.3842637,14889,1.35243189,4963,0.34,07/10/2022,13:05:00
1.37975575,14889,1.35025496,4963,0.34,07/10/2022,13:05:00
1.37557448,14889,1.34810798,4963,0.34,07/10/2022,13:05:00
1.37203469,14889,1.34513662,4963,0.32,07/10/2022,13:05:00
1.3681204,14889,1.34318968,4963,0.32,07/10/2022,13:06:00
1.36482582,14889,1.34206383,4963,0.32,07/10/2022,13:06:00
